sentence;fuel;machine;others;part;price;service
All New Toyota Kijang Innova G Diesel 2017. Mesin Otolovers yang keras kepala dan ekonomis.;positive;positive;neutral;neutral;neutral;neutral
Apalagi Daihatsu Xenia Sporty Manual, apalagi yang terbaru ini, selain irit bahan bakar, suara mesinnya alus. Pulling lebih bagus dari generasi sebelumnya dan akselerasi lumayan bagus dan variasinya ga terlalu monoton atau sibuk.;positive;positive;neutral;positive;neutral;neutral
Buat sekarang, Great New Xenia udah punya fasilitas yang luar biasa dengan harga yang ramah, bahkan lebih murah dari saingannya;neutral;neutral;neutral;positive;positive;neutral
Gue punya mobil Altis yang kagak tahan lama, setelah setahun baru rusak.;neutral;neutral;negative;neutral;neutral;neutral
Xenia tipe xi gue udah 1.5 tahun dan cukup bangga dengan kinerjanya;neutral;positive;neutral;neutral;neutral;neutral
Servis rutin ke bengkel resmi Daihatsu juga gak ada jaminan, rem gue gagal kalo lagi jalan,;neutral;neutral;neutral;neutral;neutral;negative
Gue pake karimun, adek gue pake brio. Karimun emang lebih nyaman walaupun lebih murah daripada Brio.;neutral;neutral;positive;neutral;positive;neutral
Body dan penampilan Avanza baru bagus banget, bos;neutral;neutral;neutral;positive;neutral;neutral
Sejak lama, Toyota selalu nyediain produk super mahal dengan fitur yang pas-pasan;neutral;neutral;neutral;negative;negative;neutral
Gayanya gaya dan hemat juga, beli Calya;neutral;neutral;neutral;positive;positive;neutral
Avanza adalah mobil gue yang paling bandel;neutral;positive;neutral;neutral;neutral;neutral
Mobil kurang kualitas kayak Wuling cuma masuk Indonesia.;neutral;neutral;negative;neutral;neutral;neutral
Pelayanan bengkel Daihatsu bagus;neutral;neutral;neutral;neutral;neutral;positive
Ane punya Xenia Xi, dashboardnya nabrak pohon, setelah dua hari perbaikan di sebuah servis Daihatsu resmi, langsung jadi kaya baru lagi, keren.;neutral;neutral;neutral;neutral;neutral;positive
Mata air Fortuner kenceng, pegel;neutral;neutral;neutral;negative;neutral;neutral
Mobil Esemka lebih bagus, mobil nasional asli buatan lokal, harga terjangkau, irit bahan bakar, mesin juga tangguh.;positive;positive;positive;neutral;positive;neutral
Ya gitu deh, itu Nissan, agak mahal sih tapi awetnya bagus.;neutral;neutral;positive;neutral;negative;neutral
Fortuner ga cocok buat mahasiswa karena desainnya terlalu mencolok dan mahal;neutral;neutral;neutral;negative;neutral;neutral
Layanan lebih cepat di Bengkel Toyota;neutral;neutral;neutral;neutral;neutral;positive
Honda Spacy itu hemat banget sumpah;positive;neutral;neutral;neutral;neutral;neutral
Nggak bisa tidur malem-malem di dalem mobil gara-gara ac nya kenceng banget;neutral;neutral;neutral;negative;neutral;neutral
Eh, ini bengkel Honda bener-bener sepele, kenapa gak gue ganti batere motor gue yang jelek biar gak nyala terus ada keluhan terus gue balik ke sana lagi?;neutral;neutral;neutral;neutral;neutral;negative
Dari segi kenyamanan, si Cortez oke, tapi bener-bener boros bahan bakar;negative;neutral;positive;neutral;neutral;neutral
To be honest, lama banget dari dealernya, udah sebulan belum nyampe;neutral;neutral;neutral;neutral;neutral;negative
baru gabung, baru beli xenia 04 - 2008 3 hari yang lalu overall ane ngerasa udah cukup.;neutral;neutral;positive;neutral;neutral;neutral
Gue setuju banget kalo jazz itu lebih keren dan bagus daripada mobilio;neutral;neutral;negative;neutral;neutral;neutral
Masya Allah, Toyota emang mahal, tapi pelit soal fitur;neutral;neutral;neutral;negative;negative;neutral
Suku cadang Fortuner dijual di mana-mana;neutral;neutral;neutral;positive;neutral;neutral
Alhamdulillah, mobilnya udah nyampe dari dealer Wulling awal Agustus, cepet.;neutral;neutral;neutral;neutral;neutral;positive
Vario 125 ini ringan banget dan nyaman dipake buat perempuan kayak gue, apalagi pas dibawa kemana-mana, hemat banget dan harganya terjangkau dibanding motor Honda lainnya.;positive;neutral;positive;neutral;positive;neutral
Ane beli yang 2018 rush, alhamdulillah kagak ada penyesalan sampe sekarang dan insyaallah kedepannya;neutral;neutral;positive;neutral;neutral;neutral
Juara penanganan Mini Cooper.;neutral;neutral;neutral;positive;neutral;neutral
Puas banget sama mobil gue, selain bodinya gede, keliatan mewah dan hemat bahan bakar banget karena pake diesel jadi Kijang Innova yang hebat;positive;neutral;positive;positive;neutral;neutral
Xenia ga bertahan lama banget, setelah cuma 6 bulan aja udah bermasalah;neutral;neutral;negative;neutral;neutral;neutral
Udah lama banget nunggu Xpander pivot, jadi jual nih mobil;neutral;neutral;neutral;neutral;neutral;negative
Gue nyetir Mazda CX3 tiap hari. kinerja mantap, mobil nyaman beda sama Honda HRV yang cenderung goyang bolak balik;neutral;neutral;negative;neutral;neutral;neutral
Mesin Avanza goyang mulus walaupun di jalanan yang ga rata, AC ga pelan-pelan walaupun dinyalain non-stop, dan mesinnya ga cepet kepanasan walaupun mentok bermenit-menit.;neutral;positive;neutral;positive;neutral;neutral
Wuling Formo itu mobil cina, mesinnya ga tahan lama karena di cina ga ada yang tahan lama.;neutral;negative;neutral;neutral;neutral;neutral
Mobil Honda keren banget, ane punya Honda CRV tahun 2006 sampe sekarang masih lancar,;neutral;neutral;positive;neutral;neutral;neutral
Honda selalu toleran dan maksa tiap upgrade mobil yang udah ada, ngebosenin;neutral;neutral;negative;neutral;neutral;neutral
Bengkel servis Ahas Togosari kagak memuaskan, mekaniknya kagak fokus dan jelek. kagak kayak dulu. apa kabar tuh bos?;neutral;neutral;neutral;neutral;neutral;negative
Buat yang driver-oriented, Mitsubishi ini cocok banget buat mobil yang asik dikendarai dan mudah dibawa ke luar atau di kota;neutral;neutral;positive;neutral;neutral;neutral
N-Max biaya perawatan yang mahal maksimal bakal lebih boros daripada kalo lu naik angkutan umum;neutral;neutral;neutral;neutral;neutral;negative
Fortuner lebih mewah dan lebih gede;neutral;neutral;positive;neutral;neutral;neutral
Xenia itu bener-bener kite! Cocok dibawa kemana aja, pelayanan mudah, harga terjangkau, mudah digunakan.;neutral;neutral;positive;neutral;positive;positive
Kenapa gue milih Pajero karena gue sering mudik pas lebaran dan jalannya kebanyakan jelek dan kemiringannya curam banget tanpa aspal;neutral;positive;neutral;neutral;neutral;neutral
Konsumsi bahan bakar bisa dipaksain jadi 1:12 kalo nyetirnya dengan cara yang waras, Altis G 2003 MT ini cukup hemat;positive;neutral;neutral;neutral;neutral;neutral
Harga purna jual Toyota emang lebih bagus. Tapi ya, orang kayak gue mikir kalo beli mobil itu buat dipake, bukan buat dijual. Haha;neutral;neutral;neutral;neutral;positive;neutral
Pelayanan tukang Yamaha di Poso jelek banget bro, kemaren nyuruh hari ini, hari ini dateng katanya ga bisa;neutral;neutral;neutral;neutral;neutral;negative
Gue beli Honda Beat ini tahun 2015, motor ini udah ada selama tiga tahun. Gue kerja lumayan jauh dari rumah gue, tapi udah terbukti hemat bahan bakar, di sisi lain ada rem ganda yang bikin sepeda ini luar biasa.;positive;neutral;neutral;positive;neutral;neutral
Lampu kepala Avanza juga make model terbaru. Dengan perubahan ini, mobil ini punya desain yang lebih elegan, Pak.;neutral;neutral;neutral;positive;neutral;neutral
Nyesel beli Mobilio, tetangga beli Wuling Cortez dan puas banget;neutral;neutral;positive;neutral;neutral;neutral
Brio adalah mobil ekonomis buat keluarga kelas menengah;neutral;neutral;neutral;neutral;positive;neutral
kaki juga aman dan normal. Gak pernah ganti suku cadang kecuali oli radiator dan filter, bagus banget Brio;neutral;neutral;neutral;positive;neutral;neutral
Ada satu hal lagi yang menurut gue sepele tapi menyenangkan, yaitu fitur Brake Hold di HRV;neutral;neutral;neutral;positive;neutral;neutral
Xpander mirip mobil 2020;neutral;neutral;positive;neutral;neutral;neutral
Toyota Rush adalah yang terbaik di kelasnya dan di garis depan jamannya.;neutral;neutral;positive;neutral;neutral;neutral
Brio kagak baik sumpah.;neutral;neutral;negative;neutral;neutral;neutral
Dipake buat ngantor tiap hari, gapernah repot, mesinnya handal, sesuai dengan kebutuhan ane, penghematan bahan bakarnya ga ada tandingannya.;positive;positive;positive;neutral;neutral;neutral
Lebih bagus kalo Mitsubishi Xpander menang rata-rata di semua aspek;neutral;neutral;positive;neutral;neutral;neutral
Kok bengkel Toyota jelek banget ya? Katanya sih nomernya bakal dipanggil tapi nomernya manual;neutral;neutral;neutral;neutral;neutral;negative
Cuma 10 menit buat bersihin injektor motor injeksi Yamaha yang artinya motor injeksi YMH punya perawatan yang murah & gampang;neutral;neutral;neutral;neutral;neutral;positive
Kekurangan Formo sekilas: fitur keamanan minimal, kualitas interior yang buruk.;neutral;neutral;neutral;negative;neutral;neutral
Susah banget nelpon buat booking mobil Toyota 2000 auto service! Harus banget pesen disitu;neutral;neutral;neutral;neutral;neutral;negative
Motor injeksi Yamaha lebih gampang dan murah buat dirawat;neutral;neutral;neutral;neutral;neutral;positive
Pengalaman pake HRV 1.5 E, shockbreakernya berisik pas di tol Cikampek dan banting pas duduk di belakang;neutral;neutral;neutral;negative;neutral;neutral
Honda Beat irit banget bahan bakarnya, enteng buat nyalip di jalanan macet, mesinnya gampang banget nariknya.;positive;positive;positive;neutral;neutral;neutral
Mobil WULING CONFERO ini layak banget dipilih dan diBELI sebagai mobil MPV yang nyaman dengan harga yang terjangkau.;neutral;neutral;neutral;neutral;positive;neutral
Milih Terios baru kagak berasa salah;neutral;neutral;positive;neutral;neutral;neutral
Xenia emang hemat, apalagi kalo lagi keren. coba aja matiin ACnya, bisa jalan2 25.000 rupiah.;positive;neutral;neutral;neutral;neutral;neutral
Mobil Wuling Confero S nyaman dipake di medan petualangan.;neutral;neutral;positive;neutral;neutral;neutral
Puas banget sama after sales Nissan.;neutral;neutral;neutral;neutral;neutral;positive
Avanza gampang dirawat,;neutral;neutral;neutral;neutral;neutral;positive
Kalo soal mesin dan bentuk atasan Yamaha, kayak sekarang gue lagi pake NMAX 2018 yang udah gue mata-matain sejak lama, gue suka banget sama bentuknya.;neutral;positive;neutral;positive;neutral;neutral
masalahnya, Xenia 2005 kadang dashboardnya bunyi,;neutral;neutral;neutral;negative;neutral;neutral
Dan kabinnya juga lebih luas dari Fortuner, tapi Pajero sempit, apalagi di bagian depan;neutral;neutral;neutral;negative;neutral;neutral
Layanan tukang tambal pinggir jalan katanya jelek, hasil servis di dealer resmi, servis jelek, Honda bobrok;neutral;neutral;neutral;neutral;neutral;negative
Sejauh ini, pake Xexi lumayan bagus dan nyaman juga.;neutral;neutral;positive;neutral;neutral;neutral
Harga BBM rata-rata di luar kota juga bisa sampe 1:16, hemat banget buat Mitsubishi;positive;neutral;neutral;neutral;neutral;neutral
Kelemahan 1 Xenia, DUDUK DI BARISAN BELAKANG KAYA NAIK ONTA! GILA BANGET RASANYA PUSING BANGET.;neutral;neutral;neutral;negative;neutral;neutral
Tapi yang jelek banget dari Freed adalah seretnya.;neutral;negative;neutral;neutral;neutral;neutral
Fortuner adalah mobil dengan tenaga yang lemah dan harganya mahal banget;neutral;negative;neutral;neutral;negative;neutral
Gue saranin beli aja suku cadang Vario dan aftermarket juga oke;neutral;neutral;neutral;positive;positive;neutral
Brio ga cocok buat dibawa ke medan yang sulit, emang lemah;neutral;neutral;positive;neutral;neutral;neutral
Sederhana, cocok dengan nama panggilannya, Honda Beat, gaya desain yang semakin minimalis tapi juara di kelasnya, juara irit bahan bakar, ramah dan ramah untuk kantong dan dompet, selalu sukses Honda one Heart;positive;neutral;neutral;positive;positive;neutral
Kurangnya tenaga di Ertiga juga agak ngeselin,;neutral;negative;neutral;neutral;neutral;neutral
Gue rasa New Veloz udah bikin banyak perbaikan, terutama di suspensi dibandingin sebelumnya. Pusing mental, guling-guling badan, gelisah udah berkurang.;neutral;neutral;neutral;positive;neutral;neutral
banyak yang ngeluh kalo servis kedua di Astra Daihatsu itu mahal. Tolong ajarin bengkel resmi, jangan mainin harga atau suku cadang yang bagus kagak perlu diganti;neutral;neutral;neutral;neutral;neutral;negative
Terus radio HRV nyala sendiri di volume maksimal. Gak bisa dimatiin atau dikecilin.;neutral;neutral;neutral;negative;neutral;neutral
Wow, AVS lo hemat banget, bro, AVG gue cuma sekitar 1:8 sampe 1:9, macet banget di jalan.;positive;neutral;neutral;neutral;neutral;neutral
Fortuner adalah mobil impian gue. Ini emang SUV mahal, tapi worth it.;neutral;neutral;neutral;neutral;negative;neutral
Kalo diliat dari spesifikasi, harga si Ertiga lumayan pocket friendly;neutral;neutral;neutral;neutral;positive;neutral
Ternyata perawatan Yamaha rata-rata lebih murah dari pesaingnya.;neutral;neutral;neutral;neutral;neutral;positive
Gue punya motor Honda Beat ini selama dua tahun. Gue make motor ini tiap hari buat nganterin anak-anak gue ke sekolah dan kerja. Motornya cukup lincah, lincah dan hemat bahan bakar.;positive;positive;neutral;neutral;neutral;neutral
Pajero punya mesin yang lebih kenceng dan banyak fitur;neutral;positive;neutral;positive;neutral;neutral
Harga jual Suzuki Ignis dan Daihatsu Sirion juga kagak stabil;neutral;neutral;neutral;neutral;negative;neutral
Menurut gue, suspensi Avanza agak aneh. Kalo cuma berdua, suspensinya berasa keras banget. tapi kalo diisi 6-7 orang sih suspensinya emang enak.;neutral;neutral;neutral;negative;neutral;neutral
Kalo diatas 120 km/h, Avanza ane boros banget, dan koplingnya agak kenceng, pak.;negative;neutral;neutral;negative;neutral;neutral
Pertama kali gue punya mobil ini, rasanya kayak mimpi, karena setelah dapet mobil itu, sebenernya gue menang 10 juta rupiah di undian dari Daihatsu. Mobil hemat, servis mudah dan murah.;positive;neutral;neutral;neutral;neutral;positive
Lebih bagus kalo bisa beli VRZ 4*4 dengan fitur spoiler lengkap di variety shop;neutral;neutral;neutral;positive;neutral;neutral
Rush berarti konsumsi bahan bakar yang tetep hemat.;negative;neutral;neutral;neutral;neutral;neutral
Xenia masih kurang dari segi keamanan. Kagak ada kantong udara bos.;neutral;neutral;neutral;positive;neutral;neutral
Pajero Sport Dakar emang diatas Fortuner;neutral;neutral;negative;neutral;neutral;neutral
Dulu gue gak suka sama XPander.;neutral;neutral;negative;neutral;neutral;neutral
Altis gen 11 pas banget buat yang nyari kenyamanan berkendara;neutral;neutral;positive;neutral;neutral;neutral
Kenapa kemudi Fortuner gue terasa agak gak enak ya? Kagak fleksibel.;neutral;neutral;neutral;negative;neutral;neutral
Putaran rendah mesin Fortuner kenceng banget;neutral;positive;neutral;neutral;neutral;neutral
Jujur, Fortuner ini emang tangguh banget buat dipake di medan mana aja;neutral;positive;neutral;neutral;neutral;neutral
Secara pengalaman gue, gue punya Avanza, bahan bakarnya lebih irit daripada pas gue punya Xenia;negative;neutral;neutral;neutral;neutral;neutral
Kemaren gue naik Honda Brio, baru punya 2 tahun dan jarang gue pake, remnya bunyi, remnya cepet aus, booster rem atau segel master remnya bocor.;neutral;neutral;neutral;negative;neutral;neutral
Sirion ini terlalu jual mahal bos, mungkin kagak laku di Indonesia;neutral;neutral;negative;neutral;negative;neutral
Xenia ini adalah mobil terjelek yang pernah gue punya;neutral;neutral;negative;neutral;neutral;neutral
Gue akuin kalo emang enak banget naik Hrv ini, kakak lo pake Hrv;neutral;neutral;positive;neutral;neutral;neutral
Sayang banget gak ada yang kompeten di bengkel Honda. Seminggu setelah bengkel suara mulai lagi.;neutral;neutral;neutral;neutral;neutral;negative
DAIHATSU TARUNA, selain penampilan modernnya pada saat itu, dia punya kapasitas penumpang yang gede dan tentu saja, mobil ini dibuat dengan gaya SUV;neutral;neutral;neutral;positive;neutral;neutral
Menurut gue, dari segi kenyamanan, si Xenia kagak jelek;neutral;neutral;positive;neutral;neutral;neutral
Avanza hemat bahan bakar.;positive;neutral;neutral;neutral;neutral;neutral
Toyota Rush 2018 menarik luar biasa;neutral;positive;neutral;neutral;neutral;neutral
Avanza adalah mobil yang nyaman buat keluarga dan kagak terlalu mahal buat dirawat;neutral;neutral;positive;neutral;neutral;positive
Ane baca di atas tetangga, Xenia juga naik sekitaran 2-3jt. Mobil sekarang makin mahal.;neutral;neutral;neutral;neutral;negative;neutral
Makanya gue takut dateng ke bengkel Honda Autoland untuk servis yang serius karena pasti bakal ditolak;neutral;neutral;neutral;neutral;neutral;negative
Selalu setia make setiap produk Nissan.;neutral;neutral;positive;neutral;neutral;neutral
Ga tau kenapa Avsen jauh lebih bagus buat mobil perang, walaupun ga stabil, ga nyaman banget,;neutral;neutral;negative;neutral;neutral;neutral
Suka banget sama Agya, tarikannya halus bener;neutral;positive;neutral;neutral;neutral;neutral
Gue pasti milih Pajero, selain modelnya keren dan keliatan dinamis, mesinnya juga bagus, model dashboardnya sporty;neutral;positive;positive;positive;neutral;neutral
Toyota Rush ane umur 8 tahun, belom full power;neutral;negative;neutral;neutral;neutral;neutral
Udah seminggu punya Lexi, jauh lebih nyaman daripada Vario.;neutral;neutral;negative;neutral;neutral;neutral
Tarik lincahnya pasti Avanza;neutral;positive;neutral;neutral;neutral;neutral
Xenia larinya lebih lincah daripada Avanza yang agak lemah;neutral;negative;neutral;neutral;neutral;neutral
kekuatan yang bagus. Rem combi Vario125 esp enak dan kagak malu-maluin.;neutral;positive;neutral;positive;neutral;neutral
Kopling Avanza ane agak keras pak.;neutral;neutral;neutral;negative;neutral;neutral
tapi harga otr xi lebih mahal dari li;neutral;neutral;neutral;neutral;positive;neutral
Mitsubishi raja jalanan;neutral;neutral;positive;neutral;neutral;neutral
Jemput mobil di Bengkel Honda Pondok Indah. Servis udah selesai, tapi mobilnya kotor beneran. tapi teknisinya ngotot kalo udah dicuci.;neutral;neutral;neutral;neutral;neutral;negative
Gue pengguna Xenia Li VVTI 2008, gue kagak ada masalah makenye dengan lancar.;neutral;neutral;positive;neutral;neutral;neutral
Xenia emang keras kepala, gue bener-bener seneng sama mobil gue.;neutral;positive;positive;neutral;neutral;neutral
Yang jelas gue gak nyesel milih Calya;neutral;neutral;positive;neutral;neutral;neutral
gue pemula. Lebih suka bagian luar Brio. Cuma kalo kelengkapan fiturnye bener;neutral;neutral;neutral;positive;neutral;neutral
Buat yang punya Avanza dan Xenia pasti sudah merasakan berisik nya suara di dalam kabin dan lemah nya bantingan mobil .;neutral;neutral;neutral;negative;neutral;neutral
Avanza bermanuver dengan baik banget;neutral;positive;neutral;neutral;neutral;neutral
Avanza punya kapasitas 7 penumpang yang nyaman dan aman, dan daya tahan yang lebih baik berkat sasis semi-monocoque yang dikombinasikan dengan sub-rangka kapten;neutral;neutral;neutral;positive;neutral;neutral
Meskipun harganya mahal, konsumsi bahan bakar Fortuner juga ngabisin dompet lu;negative;neutral;negative;neutral;neutral;neutral
Xenia Li cukup mampu sebagai mobil yang hemat dan cukup kuat.;positive;positive;neutral;neutral;neutral;neutral
Suku cadang Fortuner susah ditemuin;neutral;neutral;neutral;negative;neutral;neutral
Yang gue suka dari Avanza adalah volumenya yang besar, anak-anak bisa leluasa santai di mobil;neutral;neutral;neutral;positive;neutral;neutral
Gue punya keluarga Xenia Li 08, gue belum ada keluhan soal makenya.;neutral;neutral;positive;neutral;neutral;neutral
Langsung takjub sama kenyamanannya, mulai dari sesaknya kabin, support suspensi, dll;neutral;neutral;positive;positive;neutral;neutral
Gimana dengan Fortuner... cuma kekuatan biasa aja, Pajero Sport kagak punya kekuatan buat minder soal itu;neutral;positive;neutral;neutral;neutral;neutral
12 cup holder kayaknya ga berguna buat mobil tujuh kursi, apa nama tujuh kursinya?;neutral;neutral;neutral;negative;neutral;neutral
Honda Brio punya setir yang tepat dan tegak kayak 86 serta kursi bergaya balap yang sporty.;neutral;neutral;neutral;positive;neutral;neutral
nyesel beli Agya, tarikannya lambat kalo dipake banyak, ga cukup kuat;neutral;negative;neutral;neutral;neutral;neutral
Kalo soal kinerja keseluruhan, jelas banget kalo Pajero menang atas Fortuner;neutral;neutral;negative;neutral;neutral;neutral
Alesannya sih harga Fortuner di bawah harga Pajero;neutral;neutral;neutral;neutral;negative;neutral
Salah satu hal yang paling gue suka dari merek Honda adalah jok ultra;neutral;neutral;neutral;positive;neutral;neutral
Avanza ini bos, lebih cakep lagi;neutral;neutral;positive;neutral;neutral;neutral
Gue akuin kalo mobil ini paling cocok buat kerja dengan mobilitas tinggi, gede atau kagak, kecil atau kagak, masuk ke desa-desa gang kecil di tanjakan yang curam, lincah, dan yang paling penting, penggerak roda belakang cocok buat semua medan;neutral;positive;neutral;positive;neutral;neutral
Ignis Worth it mas dengan harga terendah 139,5jt.;neutral;neutral;neutral;neutral;positive;neutral
Beli Beat Fi buat dipake harian, tariknya nyaman, hemat banget kalo dipake buat kuliah. Harga oke.;positive;positive;neutral;neutral;positive;neutral
Wuling Confero S 1.5 L Lux+ ke Jawa Timur Park 3 ngerasain kenyamanan mobil ini tuh ga labil.;neutral;neutral;positive;neutral;neutral;neutral
si xpander keren juga, berasa kayak mobil masa depan;neutral;neutral;positive;neutral;neutral;neutral
Konsumsi bahan bakar HRV juga hemat banget, mencapai 13.5 km/l;positive;neutral;neutral;neutral;neutral;neutral
Kelebihan Avanza yang bikin gue jatuh cinta sama Avanza adalah penggunaan sistem penggerak roda belakang.;neutral;neutral;neutral;positive;neutral;neutral
Hadeh si Toyota Prado itu rusak semua. Emang, kata kakak gue mertahanin mobil otomatis itu susah;neutral;neutral;neutral;neutral;neutral;negative
All New Avanza lebih nyaman, lebih lincah. akselerasi yang lebih bagus.;neutral;positive;neutral;neutral;neutral;neutral
Toyota Rush cocok buat semua musim dengan semangat petualangan.;neutral;neutral;positive;neutral;neutral;neutral
Ane pengguna Xpander, ane nyobain di lereng Dieng dengan 6 penumpang dewasa, oke aja. Dan mobil ini emang bagus banget;neutral;neutral;positive;neutral;neutral;neutral
Brio emang bagus banget dan pantes laris manis;neutral;neutral;positive;neutral;neutral;neutral
bengkel Toyota, Honda, Daihatsu punya standar yang lebih bagus daripada bengkel biasa, bro, jadi Astrido punya Toyota.;neutral;neutral;neutral;neutral;neutral;positive
Kalo prioritasin design, mending pake Brio aja, tapi dari segi power masih kurang;neutral;negative;neutral;positive;neutral;neutral
Mobil Brio emang jelek dan gak bagus.;neutral;neutral;negative;neutral;neutral;neutral
Gaya Fortuner ini emang stylish banget, cocok buat kalian yang suka main Instagram;neutral;neutral;neutral;positive;neutral;neutral
Naik Honda Beat, si 180 cm me serasa kakak gede naik troli bayi.;neutral;neutral;negative;neutral;neutral;neutral
Kelemahan kekuatan Avanza itu kalo lagi panas suka turun;neutral;negative;neutral;neutral;neutral;neutral
Kemaren dapet grab pake XPander Exceed, ternyata jauh lebih nyaman.;neutral;neutral;positive;neutral;neutral;neutral
Pake HR-V 1.8, gue juga ngerasa kalo mobil ini punya kabin yang luas dan interior yang bagus.;neutral;neutral;neutral;positive;neutral;neutral
Harga murah, tapi mesin Avanza bagus juga.;neutral;positive;neutral;neutral;positive;neutral
Harga Honda Brio RS terlalu mahal, menurut gue pribadi.;neutral;neutral;neutral;neutral;negative;neutral
Kualitas produk, teknologi, dan suku cadang yang dijamin juga merupakan aspek yang mempengaruhi daya tarik Avanza bagi pemilik;neutral;neutral;positive;positive;neutral;neutral
Kalo lu punya anggaran, pilih aja Xi, lebih bagus dan lebih kenceng nariknya,;neutral;positive;neutral;neutral;neutral;neutral
Avanza bener-bener mendukung profesi yang gue jalani karena untuk mahasiswa seperti gue.;neutral;neutral;positive;neutral;neutral;neutral
Karakter mesin Livina cepet di rpm tinggi atau di jarak jauh.;neutral;positive;neutral;neutral;neutral;neutral
Avanza ini mobil keren banget. Ketahanan mesin kagak diragukan lagi. di atas bukit sih gak malu-maluin.;neutral;positive;positive;neutral;neutral;neutral
Awal 2018, gue nyoba facelift Altis gen 11, rasanya mobil ini makin hari makin hemat.;positive;neutral;neutral;neutral;neutral;neutral
Bener-bener becanda banget ini, Honda, baru setengah hari, baru jam 10, gue udah gak nerima service motor lagi,;neutral;neutral;neutral;neutral;neutral;negative
Varian Rush G AT 2018 hemat bahan bakar.;positive;neutral;neutral;neutral;neutral;neutral
ane bingung kalo ke bengkel, takutnya jelek, kalo service di Honda mahal;neutral;neutral;neutral;neutral;neutral;negative
Brio punya fitur keamanan tinggi yang kagak dimiliki 86, yaitu pembatas kecepatan 145 km/jam;neutral;neutral;neutral;positive;neutral;neutral
Teknisi Honda kerja lama banget!! Gimana udah 20 antrian tanpa motor gue disentuh? Dari jam 10 wah! Emang sih pelayanan Yamaha bagus!;neutral;neutral;neutral;neutral;neutral;positive
Kekuatannya ok, tapi desain Pajeronya kayak sissy banget... kagak se-dashing model Pajero;neutral;positive;neutral;negative;neutral;neutral
Pivot Fortuner datengnya cepet banget, baru 1 bulan;neutral;neutral;neutral;neutral;neutral;positive
Bebek & Xenia sama-sama bos ekonomis, yang utama Xenia;positive;neutral;neutral;neutral;neutral;neutral
Ane punya beat injection, hemat, maaf pake buat cepet, gapapa, tapi kadang setirnya goyang kayak ban kempes.;positive;neutral;neutral;negative;neutral;neutral
ane setuju kalo Vario jauh lebih bagus daripada Mio;neutral;neutral;negative;neutral;neutral;neutral
Ane baru beberapa bulan pake NMAX, tapi udah bosen.;neutral;neutral;negative;neutral;neutral;neutral
Mobil ane 1.3 cc Xenia, ane puas banget pakenya.;neutral;neutral;positive;neutral;neutral;neutral
Vario pada dasarnya lebih baik dari Mio dalam segala hal;neutral;neutral;negative;neutral;neutral;neutral
Xenia katanya lebih hemat dan jangan lupa kalo pajak mobil juga ditentuin sama kendaraan CC;positive;neutral;neutral;neutral;neutral;neutral
Asik buat nyetir. Memang Honda Brio masih lebih asik dari Sirion.;neutral;neutral;negative;neutral;neutral;neutral
sebenarnya gue juga pengen punya mobil rush dengan design yang sporty;neutral;neutral;neutral;positive;neutral;neutral
Bengkel Honda 0001, kagak direkomendasikan!! Butut;neutral;neutral;neutral;neutral;neutral;negative
Kijang Innova emang juara mobil mewah tapi harganya kagak mahal;neutral;neutral;positive;neutral;positive;neutral
